locationid,zone,aisle,bay
178642,B,1,38
178643,B,1,39
178608,B,1,4
178644,B,1,40
178656,B,1,41
178657,B,1,42
178658,B,1,43
178659,B,1,44
178660,B,1,45
178661,B,1,46
178662,B,1,47
178663,B,1,48
178664,B,1,49
178609,B,1,5
178645,B,1,50
178646,B,1,51
178647,B,1,52
178648,B,1,53
178649,B,1,54
178650,B,1,55
178651,B,1,56
178652,B,1,57
178653,B,1,58
178654,B,1,59
178610,B,1,6
178655,B,1,60
178611,B,1,7
178612,B,1,8
178613,B,1,9
180060,B,10,1
180069,B,10,10
180070,B,10,11
180071,B,10,12
180072,B,10,13
180073,B,10,14
180074,B,10,15
180075,B,10,16
180076,B,10,17
180077,B,10,18
180078,B,10,19
180061,B,10,2
180079,B,10,20
180080,B,10,21
180081,B,10,22
180082,B,10,23
180083,B,10,24
180084,B,10,25
180085,B,10,26
180086,B,10,27
180087,B,10,28
180088,B,10,29
180062,B,10,3
180089,B,10,30
180090,B,10,31
180091,B,10,32
180092,B,10,33
180093,B,10,34
180094,B,10,35
180095,B,10,36
180096,B,10,37
180097,B,10,38
180098,B,10,39
180063,B,10,4
180099,B,10,40
180100,B,10,41
180101,B,10,42
180102,B,10,43
180103,B,10,44
180104,B,10,45
180105,B,10,46
180106,B,10,47
180107,B,10,48
180108,B,10,49
180064,B,10,5
180109,B,10,50
180110,B,10,51
180111,B,10,52
180112,B,10,53
180113,B,10,54
180114,B,10,55
180115,B,10,56
180116,B,10,57
180117,B,10,58
180118,B,10,59
180065,B,10,6
180119,B,10,60
180066,B,10,7
180067,B,10,8
180068,B,10,9
180120,B,11,1
180129,B,11,10
180130,B,11,11
180131,B,11,12
180132,B,11,13
180133,B,11,14
180134,B,11,15
180135,B,11,16
180136,B,11,17
180137,B,11,18
180138,B,11,19
180121,B,11,2
180139,B,11,20
180140,B,11,21
180141,B,11,22
180142,B,11,23
180143,B,11,24
180144,B,11,25
180145,B,11,26
180146,B,11,27
180147,B,11,28
180148,B,11,29
180122,B,11,3
180149,B,11,30
180150,B,11,31
180151,B,11,32
180152,B,11,33
180153,B,11,34
180154,B,11,35
180155,B,11,36
180156,B,11,37
180157,B,11,38
180158,B,11,39
180123,B,11,4
180159,B,11,40
180160,B,11,41
180161,B,11,42
180162,B,11,43
180163,B,11,44
180164,B,11,45
180165,B,11,46
180166,B,11,47
180167,B,11,48
180168,B,11,49
180124,B,11,5
180169,B,11,50
180170,B,11,51
180171,B,11,52
180172,B,11,53
180173,B,11,54
180174,B,11,55
180175,B,11,56
180176,B,11,57
180177,B,11,58
180178,B,11,59
180125,B,11,6
180179,B,11,60
180126,B,11,7
180127,B,11,8
180128,B,11,9
174764,B,12,1
174773,B,12,10
174774,B,12,11
174775,B,12,12
174776,B,12,13
174777,B,12,14
174778,B,12,15
174779,B,12,16
174780,B,12,17
174781,B,12,18
174782,B,12,19
174765,B,12,2
174783,B,12,20
174784,B,12,21
174785,B,12,22
174786,B,12,23
174787,B,12,24
174788,B,12,25
174789,B,12,26
174790,B,12,27
174791,B,12,28
174792,B,12,29
174766,B,12,3
174793,B,12,30
174794,B,12,31
174795,B,12,32
174796,B,12,33
174797,B,12,34
174798,B,12,35
174799,B,12,36
174800,B,12,37
174801,B,12,38
174802,B,12,39
174767,B,12,4
174803,B,12,40
174804,B,12,41
174805,B,12,42
174806,B,12,43
174807,B,12,44
174808,B,12,45
174809,B,12,46
174810,B,12,47
174811,B,12,48
174812,B,12,49
174768,B,12,5
174813,B,12,50
174814,B,12,51
174815,B,12,52
174816,B,12,53
174817,B,12,54
174818,B,12,55
174819,B,12,56
174820,B,12,57
174821,B,12,58
174822,B,12,59
174769,B,12,6
174823,B,12,60
174770,B,12,7
174771,B,12,8
174772,B,12,9
174824,B,13,1
174833,B,13,10
174834,B,13,11
174835,B,13,12
174836,B,13,13
174837,B,13,14
174838,B,13,15
174839,B,13,16
174840,B,13,17
174841,B,13,18
174842,B,13,19
174825,B,13,2
174843,B,13,20
174844,B,13,21
174845,B,13,22
174846,B,13,23
174847,B,13,24
174848,B,13,25
174849,B,13,26
174850,B,13,27
174851,B,13,28
174852,B,13,29
174826,B,13,3
174853,B,13,30
174854,B,13,31
174855,B,13,32
174856,B,13,33
174857,B,13,34
174858,B,13,35
174859,B,13,36
174860,B,13,37
174861,B,13,38
174862,B,13,39
174827,B,13,4
174863,B,13,40
174915,B,13,41
174916,B,13,42
174918,B,13,43
174919,B,13,44
174920,B,13,45
174922,B,13,46
174923,B,13,47
174924,B,13,48
174926,B,13,49
174828,B,13,5
174927,B,13,50
174928,B,13,51
174929,B,13,52
174931,B,13,53
174932,B,13,54
174933,B,13,55
174934,B,13,56
174935,B,13,57
174936,B,13,58
174937,B,13,59
174829,B,13,6
174938,B,13,60
174830,B,13,7
174831,B,13,8
174832,B,13,9
174944,B,14,1
174953,B,14,10
174954,B,14,11
174955,B,14,12
174956,B,14,13
174957,B,14,14
174958,B,14,15
174959,B,14,16
174960,B,14,17
174961,B,14,18
174962,B,14,19
174945,B,14,2
174963,B,14,20
174972,B,14,21
174973,B,14,22
174974,B,14,23
174975,B,14,24
174976,B,14,25
174977,B,14,26
174978,B,14,27
174979,B,14,28
174980,B,14,29
174946,B,14,3
174981,B,14,30
174982,B,14,31
174983,B,14,32
174984,B,14,33
174985,B,14,34
174986,B,14,35
174987,B,14,36
174988,B,14,37
174989,B,14,38
174990,B,14,39
174947,B,14,4
174991,B,14,40
174992,B,14,41
174993,B,14,42
174994,B,14,43
174995,B,14,44
174996,B,14,45
174997,B,14,46
174998,B,14,47
174999,B,14,48
175000,B,14,49
174948,B,14,5
175001,B,14,50
175002,B,14,51
175003,B,14,52
175004,B,14,53
175005,B,14,54
175006,B,14,55
175007,B,14,56
175008,B,14,57
175009,B,14,58
175010,B,14,59
174949,B,14,6
175011,B,14,60
174950,B,14,7
174951,B,14,8
174952,B,14,9
175012,B,15,1
175021,B,15,10
175022,B,15,11
175023,B,15,12
175024,B,15,13
175025,B,15,14
175026,B,15,15
175027,B,15,16
175028,B,15,17
175029,B,15,18
175030,B,15,19
175013,B,15,2
175031,B,15,20
175032,B,15,21
175033,B,15,22
175034,B,15,23
175035,B,15,24
175036,B,15,25
175037,B,15,26
175038,B,15,27
175039,B,15,28
175040,B,15,29
175014,B,15,3
175041,B,15,30
175042,B,15,31
175043,B,15,32
175044,B,15,33
175045,B,15,34
175046,B,15,35
175047,B,15,36
175048,B,15,37
175049,B,15,38
175050,B,15,39
175015,B,15,4
175051,B,15,40
175052,B,15,41
175053,B,15,42
175054,B,15,43
175055,B,15,44
175056,B,15,45
175057,B,15,46
175058,B,15,47
175059,B,15,48
175060,B,15,49
175016,B,15,5
175061,B,15,50
175062,B,15,51
175063,B,15,52
175064,B,15,53
175065,B,15,54
175066,B,15,55
175067,B,15,56
175068,B,15,57
175069,B,15,58
175070,B,15,59
175017,B,15,6
175071,B,15,60
175018,B,15,7
175019,B,15,8
175020,B,15,9
175072,B,16,1
175081,B,16,10
175082,B,16,11
175083,B,16,12
175084,B,16,13
175085,B,16,14
175086,B,16,15
175087,B,16,16
175088,B,16,17
175089,B,16,18
175090,B,16,19
175073,B,16,2
175091,B,16,20
175092,B,16,21
175093,B,16,22
175094,B,16,23
175095,B,16,24
175096,B,16,25
175097,B,16,26
175098,B,16,27
175099,B,16,28
175100,B,16,29
175074,B,16,3
175101,B,16,30
175102,B,16,31
175103,B,16,32
175104,B,16,33
175105,B,16,34
175106,B,16,35
175107,B,16,36
175108,B,16,37
175109,B,16,38
175110,B,16,39
175075,B,16,4
175111,B,16,40
175112,B,16,41
175113,B,16,42
175114,B,16,43
175115,B,16,44
175116,B,16,45
175117,B,16,46
175118,B,16,47
175119,B,16,48
175120,B,16,49
175076,B,16,5
175121,B,16,50
175122,B,16,51
175123,B,16,52
175124,B,16,53
175125,B,16,54
175126,B,16,55
175127,B,16,56
175128,B,16,57
175129,B,16,58
175130,B,16,59
175077,B,16,6
175131,B,16,60
175078,B,16,7
175079,B,16,8
175080,B,16,9
180433,B,17,1
180442,B,17,10
180443,B,17,11
180444,B,17,12
180445,B,17,13
180446,B,17,14
180447,B,17,15
180448,B,17,16
180449,B,17,17
180450,B,17,18
180451,B,17,19
180434,B,17,2
180452,B,17,20
180453,B,17,21
180454,B,17,22
180455,B,17,23
180456,B,17,24
180457,B,17,25
180458,B,17,26
180459,B,17,27
180460,B,17,28
180461,B,17,29
180435,B,17,3
180462,B,17,30
180463,B,17,31
180464,B,17,32
180465,B,17,33
180466,B,17,34
180467,B,17,35
180468,B,17,36
180469,B,17,37
180470,B,17,38
180471,B,17,39
180436,B,17,4
180472,B,17,40
180473,B,17,41
180474,B,17,42
180475,B,17,43
180476,B,17,44
180477,B,17,45
180478,B,17,46
180479,B,17,47
180480,B,17,48
180481,B,17,49
180437,B,17,5
180482,B,17,50
180483,B,17,51
180484,B,17,52
180485,B,17,53
180486,B,17,54
180487,B,17,55
180488,B,17,56
180489,B,17,57
180490,B,17,58
180491,B,17,59
180438,B,17,6
180492,B,17,60
180439,B,17,7
180440,B,17,8
180441,B,17,9
180493,B,18,1
180502,B,18,10
180503,B,18,11
180504,B,18,12
180505,B,18,13
180506,B,18,14
180507,B,18,15
180508,B,18,16
180509,B,18,17
180510,B,18,18
180511,B,18,19
180494,B,18,2
180512,B,18,20
180513,B,18,21
180514,B,18,22
180515,B,18,23
180516,B,18,24
180517,B,18,25
180518,B,18,26
180519,B,18,27
180520,B,18,28
180521,B,18,29
180495,B,18,3
180522,B,18,30
180523,B,18,31
180524,B,18,32
180525,B,18,33
180526,B,18,34
180527,B,18,35
180528,B,18,36
180529,B,18,37
180530,B,18,38
180531,B,18,39
180496,B,18,4
180532,B,18,40
180533,B,18,41
180534,B,18,42
180535,B,18,43
