locationid,zone,aisle,bay
280286,DWD,1,299
277576,DWD,1,3
277603,DWD,1,30
280287,DWD,1,300
283738,DWD,1,301
283739,DWD,1,302
283740,DWD,1,303
283741,DWD,1,304
283742,DWD,1,305
283743,DWD,1,306
283744,DWD,1,307
283745,DWD,1,308
283746,DWD,1,309
277604,DWD,1,31
283747,DWD,1,310
283748,DWD,1,311
283749,DWD,1,312
283750,DWD,1,313
283751,DWD,1,314
283752,DWD,1,315
283753,DWD,1,316
283754,DWD,1,317
283755,DWD,1,318
283756,DWD,1,319
277605,DWD,1,32
283757,DWD,1,320
283758,DWD,1,321
283759,DWD,1,322
283760,DWD,1,323
283761,DWD,1,324
283762,DWD,1,325
283763,DWD,1,326
283764,DWD,1,327
283765,DWD,1,328
283766,DWD,1,329
277606,DWD,1,33
283767,DWD,1,330
283768,DWD,1,331
283769,DWD,1,332
283770,DWD,1,333
283771,DWD,1,334
283772,DWD,1,335
283773,DWD,1,336
283774,DWD,1,337
283775,DWD,1,338
283776,DWD,1,339
277607,DWD,1,34
283777,DWD,1,340
283778,DWD,1,341
283779,DWD,1,342
283780,DWD,1,343
283781,DWD,1,344
283782,DWD,1,345
283783,DWD,1,346
283784,DWD,1,347
283785,DWD,1,348
283786,DWD,1,349
277608,DWD,1,35
283787,DWD,1,350
283788,DWD,1,351
283789,DWD,1,352
283790,DWD,1,353
283791,DWD,1,354
283792,DWD,1,355
283793,DWD,1,356
283794,DWD,1,357
283795,DWD,1,358
283796,DWD,1,359
277609,DWD,1,36
283797,DWD,1,360
283798,DWD,1,361
283799,DWD,1,362
283800,DWD,1,363
283801,DWD,1,364
283802,DWD,1,365
283803,DWD,1,366
283804,DWD,1,367
283805,DWD,1,368
283806,DWD,1,369
277610,DWD,1,37
283807,DWD,1,370
283808,DWD,1,371
283809,DWD,1,372
283810,DWD,1,373
283811,DWD,1,374
283812,DWD,1,375
283813,DWD,1,376
283814,DWD,1,377
283815,DWD,1,378
283816,DWD,1,379
277611,DWD,1,38
283817,DWD,1,380
283818,DWD,1,381
283819,DWD,1,382
283820,DWD,1,383
283821,DWD,1,384
283822,DWD,1,385
283823,DWD,1,386
283824,DWD,1,387
283825,DWD,1,388
283826,DWD,1,389
277612,DWD,1,39
283827,DWD,1,390
283828,DWD,1,391
283829,DWD,1,392
283830,DWD,1,393
283831,DWD,1,394
283832,DWD,1,395
283833,DWD,1,396
283834,DWD,1,397
283835,DWD,1,398
283836,DWD,1,399
277577,DWD,1,4
277613,DWD,1,40
283837,DWD,1,400
284175,DWD,1,401
284176,DWD,1,402
284177,DWD,1,403
284178,DWD,1,404
284179,DWD,1,405
284180,DWD,1,406
284181,DWD,1,407
284182,DWD,1,408
284183,DWD,1,409
277614,DWD,1,41
284184,DWD,1,410
284185,DWD,1,411
284186,DWD,1,412
284187,DWD,1,413
284188,DWD,1,414
284189,DWD,1,415
284190,DWD,1,416
284191,DWD,1,417
284192,DWD,1,418
284193,DWD,1,419
277615,DWD,1,42
284194,DWD,1,420
284195,DWD,1,421
284196,DWD,1,422
284197,DWD,1,423
284198,DWD,1,424
284199,DWD,1,425
284200,DWD,1,426
284201,DWD,1,427
284202,DWD,1,428
284203,DWD,1,429
277616,DWD,1,43
284204,DWD,1,430
284205,DWD,1,431
284206,DWD,1,432
284207,DWD,1,433
284208,DWD,1,434
284209,DWD,1,435
284210,DWD,1,436
284211,DWD,1,437
284212,DWD,1,438
284213,DWD,1,439
277617,DWD,1,44
284214,DWD,1,440
284215,DWD,1,441
284216,DWD,1,442
284217,DWD,1,443
284218,DWD,1,444
284219,DWD,1,445
284220,DWD,1,446
284221,DWD,1,447
284222,DWD,1,448
284223,DWD,1,449
277618,DWD,1,45
284224,DWD,1,450
284225,DWD,1,451
284226,DWD,1,452
284227,DWD,1,453
284228,DWD,1,454
284229,DWD,1,455
284230,DWD,1,456
284231,DWD,1,457
284232,DWD,1,458
284233,DWD,1,459
277619,DWD,1,46
284234,DWD,1,460
284235,DWD,1,461
284236,DWD,1,462
284237,DWD,1,463
284238,DWD,1,464
284239,DWD,1,465
284240,DWD,1,466
284241,DWD,1,467
284242,DWD,1,468
284243,DWD,1,469
277620,DWD,1,47
284244,DWD,1,470
284245,DWD,1,471
284246,DWD,1,472
284247,DWD,1,473
284248,DWD,1,474
284249,DWD,1,475
284250,DWD,1,476
284251,DWD,1,477
284252,DWD,1,478
284253,DWD,1,479
277621,DWD,1,48
284254,DWD,1,480
284255,DWD,1,481
284256,DWD,1,482
284257,DWD,1,483
284258,DWD,1,484
284259,DWD,1,485
284260,DWD,1,486
284261,DWD,1,487
284262,DWD,1,488
284263,DWD,1,489
277622,DWD,1,49
284264,DWD,1,490
284265,DWD,1,491
284266,DWD,1,492
284267,DWD,1,493
284268,DWD,1,494
284269,DWD,1,495
284270,DWD,1,496
284271,DWD,1,497
284272,DWD,1,498
284273,DWD,1,499
277578,DWD,1,5
277623,DWD,1,50
284274,DWD,1,500
277624,DWD,1,51
277625,DWD,1,52
277626,DWD,1,53
277627,DWD,1,54
277628,DWD,1,55
277629,DWD,1,56
277630,DWD,1,57
277631,DWD,1,58
277632,DWD,1,59
277579,DWD,1,6
277633,DWD,1,60
277634,DWD,1,61
277635,DWD,1,62
277636,DWD,1,63
277637,DWD,1,64
277638,DWD,1,65
277639,DWD,1,66
277640,DWD,1,67
277641,DWD,1,68
277642,DWD,1,69
277580,DWD,1,7
277643,DWD,1,70
277644,DWD,1,71
277645,DWD,1,72
277646,DWD,1,73
277647,DWD,1,74
277648,DWD,1,75
277649,DWD,1,76
277650,DWD,1,77
277651,DWD,1,78
277652,DWD,1,79
277581,DWD,1,8
277653,DWD,1,80
277654,DWD,1,81
277655,DWD,1,82
277656,DWD,1,83
277657,DWD,1,84
277658,DWD,1,85
277659,DWD,1,86
277660,DWD,1,87
277661,DWD,1,88
277662,DWD,1,89
277582,DWD,1,9
277663,DWD,1,90
277664,DWD,1,91
277665,DWD,1,92
277666,DWD,1,93
277667,DWD,1,94
277668,DWD,1,95
277669,DWD,1,96
277670,DWD,1,97
277671,DWD,1,98
277672,DWD,1,99
326765,DWD,2,11
327044,DWD,2,13
327342,DWD,2,14
327615,DWD,2,15
327659,DWD,2,17
328931,DWD,2,18
334402,DWD,3,11
334403,DWD,3,12
334561,DWD,3,13
337068,DWD,3,15
338597,DWD,3,16
338961,DWD,3,17
339250,DWD,3,18
339325,DWD,3,19
339438,DWD,3,20
340506,DWD,3,22
341099,DWD,3,23
332154,DWD,3,4
344627,DWD,4,1
352798,DWD,4,10
353456,DWD,4,11
